"beta_hat","bias","rmse","covered","cindex","ibs","scenario","rep"
0.720569933412094,0.0274227528521482,0.000752007373990004,1,0.656677254522856,NA,"PH",79
0.746335768330162,0.0531885877702168,0.00282902586899006,1,0.69072011878248,NA,"PH",80
0.636705199861623,-0.0564419806983225,0.00318569718514981,1,0.700879380496128,NA,"PH",81
0.61602770114751,-0.0771194794124351,0.00594741410484501,1,0.642729134664619,NA,"PH",82
0.56592273592349,-0.127224444636456,0.0161860593130546,1,0.704476792090085,NA,"PH",83
0.658131958497901,-0.0350152220620442,0.00122606577605427,1,0.610924369747899,NA,"PH",84
0.722407077939063,0.0292598973791176,0.000856141594636493,1,0.657403783431181,NA,"PH",85
0.637729635130394,-0.0554175454295508,0.00307110434143633,1,0.660780078770169,NA,"PH",86
0.659407604954225,-0.0337395756057204,0.00113835896205412,1,0.654464780920688,NA,"PH",87
0.62653948877912,-0.066607691780825,0.00443658460436939,1,0.674810556571727,NA,"PH",88
0.618224716326942,-0.0749224642330035,0.00561337564674569,1,0.735239113010954,NA,"PH",89
0.745831902779374,0.0526847222194284,0.00277567995533834,1,0.648904828999616,NA,"PH",90
0.676918135798696,-0.0162290447612498,0.000263381893862648,1,0.692097415506958,NA,"PH",91
0.663775885338297,-0.029371295221648,0.000862672982997206,1,0.661273621537665,NA,"PH",92
0.871009972110243,0.177862791550298,0.0316351726180647,0,0.652388797364086,NA,"PH",93
0.749516539592946,0.0563693590330011,0.00317750463779138,1,0.717227943222933,NA,"PH",94
0.780297988778231,0.0871508082182854,0.00759526337310035,1,0.682258064516129,NA,"PH",95
0.705356228437014,0.0122090478770686,0.000149060850064552,1,0.714248569942798,NA,"PH",96
0.791995054151488,0.0988478735915431,0.00977090211356969,1,0.585886057829946,NA,"PH",97
0.724095813055666,0.0309486324957209,0.000957817853355191,1,0.702803241663345,NA,"PH",98
0.690857111329011,-0.002290069230934,5.24441708247064e-06,1,0.665687583444593,NA,"PH",99
0.712225349436011,0.0190781688760656,0.000363976527663679,1,0.737404162102957,NA,"PH",100
0.749435441706616,0.0562882611466711,0.00316836834291584,1,0.639350359533846,NA,"PH",101
0.773074335822392,0.0799271552624468,0.00638835014834727,1,0.733644859813084,NA,"PH",102
0.658986420449077,-0.0341607601108679,0.00116695753135226,1,0.65480280335303,NA,"PH",103
0.77692595866385,0.0837787781039043,0.00701888366058324,1,0.626186660091234,NA,"PH",104
0.648761742754635,-0.0443854378053101,0.00197006708916905,1,0.671831314072693,NA,"PH",105
0.712855482550523,0.0197083019905777,0.00038841716735181,1,0.688282001924928,NA,"PH",106
0.548499108537581,-0.144648072022365,0.0209230647397872,1,0.658017298735862,NA,"PH",107
0.698868380807139,0.00572120024719347,3.27321322684866e-05,1,0.712346105166264,NA,"PH",108
0.668229147380174,-0.0249180331797716,0.000620908377548198,1,0.673935351462288,NA,"PH",109
0.681975255682584,-0.0111719248773609,0.000124811905465394,1,0.717803496675696,NA,"PH",110
0.669011060471914,-0.0241361200880311,0.00058255229290386,1,0.662629286880784,NA,"PH",111
0.721964979029246,0.0288177984693007,0.000830465508617227,1,0.635687732342007,NA,"PH",112
0.695950152000058,0.00280297144011321,7.85664889409033e-06,1,0.678342700300614,NA,"PH",113
0.832829436022244,0.139682255462298,0.0195111324910348,1,0.69242053789731,NA,"PH",114
0.785887273322257,0.092740092762312,0.00860072480556223,1,0.716641473134533,NA,"PH",115
0.739059604250229,0.0459124236902836,0.00210795064911611,1,0.709527498063517,NA,"PH",116
0.848813292649609,0.155666112089664,0.0242319384531117,1,0.712932862190813,NA,"PH",117
0.655917562369877,-0.0372296181900683,0.00138604447057827,1,0.709580409566089,NA,"PH",118
0.715819330317365,0.0226721497574195,0.000514026374622857,1,0.661313868613139,NA,"PH",119
0.661688976623199,-0.0314582039367461,0.00098961859492591,1,0.638001314924392,NA,"PH",120
0.714144361136053,0.0209971805761074,0.000440881592145664,1,0.688771568374968,NA,"PH",121
0.780332671143203,0.0871854905832575,0.00760130976824329,1,0.682782242128837,NA,"PH",122
0.659699741504295,-0.0334474390556501,0.00111873117938143,1,0.717607508054349,NA,"PH",123
0.648328185769769,-0.0448189947901767,0.00200874229400189,1,0.630875148947438,NA,"PH",124
0.829723358556265,0.13657617799632,0.0186530523960825,1,0.666265221463937,NA,"PH",125
0.657963208562644,-0.0351839719973012,0.00123791188550687,1,0.619854417670683,NA,"PH",126
0.76318777747034,0.0700405969103942,0.00490568521556432,1,0.596864349011588,NA,"PH",127
0.712356157697845,0.0192089771378996,0.000368984802684349,1,0.692653238661064,NA,"PH",128
0.654148337773516,-0.0389988427864291,0.00152090973868061,1,0.653236176596657,NA,"PH",129
0.54294067291977,-0.150206507640175,0.0225619949374581,0,0.673739187204178,NA,"PH",130
0.762501858307869,0.0693546777479233,0.00481007132551828,1,0.673697749196141,NA,"PH",131
0.666888069444262,-0.0262591111156835,0.000689540916585811,1,0.700615631691649,NA,"PH",132
0.654521023552992,-0.0386261570069536,0.00149198000512583,1,0.721511793123046,NA,"PH",133
0.565894409818568,-0.127252770741377,0.0161932676613574,1,0.660034717585792,NA,"PH",134
0.704144492126585,0.0109973115666395,0.000120940861693743,1,0.635198578860551,NA,"PH",135
0.726189470141553,0.0330422895816082,0.00109179290079485,1,0.605763259222457,NA,"PH",136
0.578708926292557,-0.114438254267388,0.0130961140397674,1,0.659899749373434,NA,"PH",137
0.726966818265481,0.0338196377055361,0.00114376789453372,1,0.674993723324128,NA,"PH",138
0.646357486168853,-0.0467896943910925,0.00218927550121183,1,0.673352435530086,NA,"PH",139
0.768198757889807,0.075051577329862,0.00563273925970026,1,0.693927455508762,NA,"PH",140
0.872202031899001,0.179054851339055,0.0320606397880512,0,0.689328743545611,NA,"PH",141
0.70772803269427,0.0145808521343245,0.000212601248963035,1,0.695560809035986,NA,"PH",142
0.601226331032899,-0.0919208495270462,0.00844944257777386,1,0.663787097673122,NA,"PH",143
0.875760898883997,0.182613718324052,0.0333477701201361,0,0.716165413533835,NA,"PH",144
0.702740697161855,0.00959351660190977,9.20355607911183e-05,1,0.686403195890997,NA,"PH",145
0.786761969050119,0.093614788490174,0.00876372862406002,1,0.66438833868043,NA,"PH",146
0.701026442736728,0.00787926217678281,6.20827724504802e-05,1,0.703896780920109,NA,"PH",147
0.772238176866942,0.0790909963069962,0.00625538569683329,1,0.675862953933017,NA,"PH",148
0.667018981566389,-0.0261281989935559,0.000682682782646855,1,0.635892491261902,NA,"PH",149
0.696710393149133,0.00356321258918813,1.26964839557487e-05,1,0.729974881384315,NA,"PH",150
0.644209417223998,-0.0489377633359471,0.00239490468032517,1,0.662727272727273,NA,"PH",151
0.650760954592167,-0.0423862259677783,0.00179659215179156,1,0.669773635153129,NA,"PH",152
0.676441038243319,-0.0167061423166267,0.000279095191103385,1,0.693747400526827,NA,"PH",153
0.7161560423886,0.0230088618286542,0.000529407722650102,1,0.662314615287109,NA,"PH",154
0.771052654937342,0.0779054743773971,0.00606926293796728,1,0.673450070989115,NA,"PH",155
0.60002617081559,-0.0931210097443549,0.00867152245580824,1,0.649807664909531,NA,"PH",156
0.723807248711296,0.030660068151351,0.00094003977904549,1,0.714399574920298,NA,"PH",157
0.619304180298987,-0.0738430002609585,0.00545278868753991,1,0.702424781007998,NA,"PH",158
0.702000974056144,0.0088537934961983,7.83896592733234e-05,1,0.674891540130152,NA,"PH",159
0.562879839001823,-0.130267341558122,0.0169695802766204,1,0.71830985915493,NA,"PH",160
0.696861409891202,0.00371422933125665,1.37954995251672e-05,1,0.690339354132458,NA,"PH",161
0.842149924292249,0.149002743732303,0.0222018176397545,1,0.660334561950666,NA,"PH",162
0.63865449102717,-0.0544926895327752,0.00296945321251543,1,0.610124669437099,NA,"PH",163
0.729667696655526,0.0365205160955808,0.00133374809588758,1,0.677175963352196,NA,"PH",164
0.741925254112826,0.0487780735528809,0.00237930045953026,1,0.67287199897291,NA,"PH",165
0.643514690616661,-0.0496324899432841,0.00246338405797019,1,0.687645990137555,NA,"PH",166
0.650358658477276,-0.0427885220826689,0.00183085762201905,1,0.692832341269841,NA,"PH",167
0.582489239592566,-0.110657940967379,0.01224517989914,1,0.645300935623516,NA,"PH",168
